# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2019-20,"Legislative, Judicial, and Executive",Governor Elect and Outgoing Governor,0730,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",Industrial Dvlmt Financing Advisory Comm,0965,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0,0,0,0,0,0,0,0
2019-20,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2019-20,"Legislative, Judicial, and Executive",Secure Choice Retirement Svngs Invst Brd,0984,0,0,0,0,,,,
2019-20,Labor and Workforce Development,,,0.14,0.811,0,6.478,0.169,0.668,0,51.159
2019-20,Labor and Workforce Development,Employment Development Department,7100,0.079,0.175,0,6.436,0.097,0.114,0,51.119
2019-20,Labor and Workforce Development,Department of Industrial Relations,7350,0.012,0.595,0,0.038,0,0.551,0,0.035
2019-20,Labor and Workforce Development,California Workforce Development Board,7120,0.021,0.04,0,0.005,0.047,0.001,0,0.004
2019-20,Labor and Workforce Development,Public Employment Relations Board,7320,0.015,0,0,0,0.014,0,0,0
2019-20,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.01,0.001,0,0,0.009,0.001,0,0
2019-20,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0.002,0,0,0,0.001,0,0,0
2019-20,Natural Resources,,,3.796,1.783,1.331,0.291,3.836,1.823,1.244,0.24
2019-20,Natural Resources,"Department of Forestry, Fire Protection",3540,1.704,0.353,0.009,0.02,1.673,0.34,0.003,0.008
2019-20,Natural Resources,"Department of Parks, Recreation",3790,0.279,0.471,0.127,0.104,0.28,0.375,0.109,0.104
2019-20,Natural Resources,Department of Water Resources,3860,0.158,0.037,0.566,0.013,0.25,0.033,0.517,0.004
2019-20,Natural Resources,Department of Fish and Wildlife,3600,0.138,0.25,0.066,0.083,0.148,0.269,0.087,0.085
2019-20,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0,0.383,0,0.014,0,0.499,0,0.004
2019-20,Natural Resources,"Natural Resources Agency, Secy",0540,0.116,0.046,0.204,0,0.116,0.05,0.23,0
2019-20,Natural Resources,Wildlife Conservation Board,3640,0.019,0.004,0.138,0.035,0.022,0.023,0.103,0.016
2019-20,Natural Resources,California Conservation Corps,3340,0.098,0.057,0.012,0,0.099,0.048,0.011,0
2019-20,Natural Resources,Department of Conservation,3480,0.004,0.113,0.02,0.004,0.004,0.114,0.004,0.004
2019-20,Natural Resources,State Coastal Conservancy,3760,0.012,0.007,0.085,0.009,0.012,0.008,0.083,0.009
2019-20,Natural Resources,State Lands Commission,3560,0.06,0.022,0,0,0.061,0.023,0,0
2019-20,Natural Resources,Exposition Park,3100,0.034,0.01,0,0,0.029,0.011,0,0
2019-20,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.036,0.001,0.001,0,0.021,0
2019-20,Natural Resources,Tahoe Conservancy,3125,0.001,0.007,0.02,0.001,0.001,0.007,0.004,0.001
2019-20,Natural Resources,Coastal Commission,3720,0.021,0.005,0,0.003,0.021,0.005,0,0.003
2019-20,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0,0,0.027,0,0.017,0,0.015,0
2019-20,Natural Resources,Santa Monica Mountains Conservancy,3810,0.015,0,0.011,0,0.011,0,0.014,0
2019-20,Natural Resources,Delta Stewardship Council,3885,0.019,0.001,0,0.003,0.019,0.001,0,0.001
2019-20,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.006,0.002,0,0,0.009,0.002,0,0
2019-20,Natural Resources,Sierra Nevada Conservancy,3855,0,0.004,0.001,0.002,0,0.007,0.035,0
2019-20,Natural Resources,Special Resources Programs,3110,0,0.006,0,0,0,0.005,0,0
2019-20,Natural Resources,Native American Heritage Commission,3780,0.004,0,0,0,0.004,0,0,0
2019-20,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0.003,0,0,0,0.002,0
2019-20,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.003,0,0,0,-0.001,0
2019-20,Natural Resources,San Diego River Conservancy,3845,0,0,0.002,0,0,0,0.006,0
2019-20,Natural Resources,Delta Protection Commission,3840,0,0.002,0,0,0,0.002,0,0
2019-20,Natural Resources,San Joaquin River Conservancy,3830,0,0,0,0,0,0,0,0
2019-20,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2019-20,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2019-20,Environmental Protection,,,0.196,4.036,0.405,0.369,0.775,4.318,1.451,0.356
2019-20,Environmental Protection,Resources Recycling and Recovery,3970,0.003,1.58,0,0,0.531,1.641,0,0
2019-20,Environmental Protection,State Water Resources Control Board,3940,0.116,0.681,0.391,0.314,0.172,0.786,1.45,0.314
2019-20,Environmental Protection,Air Resources Board,3900,0,1.378,0.014,0.017,0,1.54,0.001,0.011
2019-20,Environmental Protection,Department of Toxic Substances Control,3960,0.062,0.255,0,0.035,0.056,0.215,0,0.03
2019-20,Environmental Protection,Department of Pesticide Regulation,3930,0.002,0.107,0,0.002,0,0.103,0,0.002
2019-20,Environmental Protection,Environmental Health Hazard Assessment,3980,0.006,0.018,0,0,0.007,0.018,0,0
2019-20,Environmental Protection,"Environmental Protection, Secy",0555,0.003,0.017,0,0,0.005,0.015,0,0
2019-20,"Business, Consumer Services, and Housing",,,2.09,1.003,1.032,0.247,1.65,1.49,1.395,0.142
2019-20,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,1.006,0.034,1.032,0.241,0.474,0.595,1.395,0.137
2019-20,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0.011,0.712,0,0,0.01,0.64,0,0
2019-20,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,0.652,0.001,0,0,0.72,0.001,0,0
2019-20,"Business, Consumer Services, and Housing",Department of Business Oversight,1701,0,0.102,0,0,0,0.104,0,0
2019-20,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0,0.081,0,0,0,0.08,0,0
2019-20,"Business, Consumer Services, and Housing",Department of Real Estate,2320,0,0.053,0,0,0,0.051,0,0
2019-20,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.026,0,0,0.006,0.029,0,0,0.005
2019-20,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.014,0,0,0,0.014,0,0
2019-20,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.003,0,0,0,0.002,0,0
2019-20,"Business, Consumer Services, and Housing","Seismic Safety Commission, A. E. Alquist",1690,0,0.001,0,0,0,0.001,0,0
2019-20,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,0,0.001,0,0
2019-20,Government Operations,,,1.398,0.346,0.009,0.025,3.157,0.34,0.009,0.017
2019-20,Government Operations,Franchise Tax Board,7730,0.828,0.024,0,0,0.835,0.021,0,0
2019-20,Government Operations,Department of Tax and Fee Administration,7600,0.344,0.101,0,0,0.306,0.08,0,0
2019-20,Government Operations,Department of General Services,7760,0.093,0.125,0.009,0,1.91,0.133,0.009,0
2019-20,Government Operations,California Victim Compensation Board,7870,0,0.097,0,0.025,0,0.106,0,0.017
2019-20,Government Operations,"Government Operations, Secretary",0511,0.112,0,0,0,0.082,0,0,0
2019-20,Government Operations,Department of Human Resources,7501,0.011,0,0,0,0.012,0,0,0
2019-20,Government Operations,Department of Technology,7502,0.005,0,0,0,0.008,0,0,0
2019-20,Government Operations,State Personnel Board,7503,0.002,0,0,0,0.001,0,0,0
2019-20,Government Operations,Office of Administrative Law,7910,0.002,0,0,0,0.002,0,0,0
2019-20,Government Operations,Public Employees' Retirement System,7900,0.001,0,0,0,0,0,0,0
2019-20,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2020-21,Health and Human Services,,,44.815,25.603,0,88.558,,,,
2020-21,Health and Human Services,State Department of Health Care Services,4260,24.208,14.097,0,76.959,,,,
2020-21,Health and Human Services,Department of Social Services,5180,11.616,0.041,0,8.701,,,,
2020-21,Health and Human Services,Department of Developmental Services,4300,5.883,0.004,0,0.057,,,,
2020-21,Health and Human Services,"State-Local Realignment, 1991",5195,0,5.287,0,0,,,,
2020-21,Health and Human Services,"State-Local Realignment, 2011",5196,0.012,4.439,0,0,,,,
2020-21,Health and Human Services,Department of Public Health,4265,0.214,1.098,0,1.411,,,,
2020-21,Health and Human Services,Department of State Hospitals,4440,1.928,0,0,0,,,,
2020-21,Health and Human Services,Department of Child Support Services,5175,0.315,0,0,0.548,,,,
2020-21,Health and Human Services,Department of Rehabilitation,5160,0.076,0,0,0.395,,,,
2020-21,Health and Human Services,California Health Benefit Exchange,4800,0.349,0,0,0,,,,
2020-21,Health and Human Services,Children and Families Commission,4250,0,0.347,0,0,,,,
2020-21,Health and Human Services,Community Services and Development,4700,0,0,0,0.288,,,,
2020-21,Health and Human Services,Department of Aging,4170,0.068,0.005,0,0.171,,,,
2020-21,Health and Human Services,"Statewide Health Planning, Development",4140,0.033,0.137,0,0.002,,,,
2020-21,Health and Human Services,Department of Managed Health Care,4150,0,0.096,0,0,,,,
2020-21,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.045,0,0,,,,
2020-21,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.007,0.002,0,0.013,,,,
2020-21,Health and Human Services,Emergency Medical Services Authority,4120,0.011,0.005,0,0.005,,,,
2020-21,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.008,,,,
2020-21,Health and Human Services,Commission on Aging,4180,0,0,0,0,,,,
2020-21,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2020-21,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2020-21,K thru 12 Education,,,48.067,0.127,1.541,11.462,,,,
2020-21,K thru 12 Education,Department of Education,6100,42.102,0.089,0.003,11.44,,,,
2020-21,K thru 12 Education,Teachers Retirement System Contributions,6300,3.894,0,0,0,,,,
2020-21,K thru 12 Education,School Facilities Aid Program,6350,0,0.008,1.538,0,,,,
2020-21,K thru 12 Education,State Library,6120,0.032,0.001,0,0.022,,,,
2020-21,K thru 12 Education,Commission on Teacher Credentialing,6360,0,0.03,0,0,,,,
2020-21,K thru 12 Education,Summer School for the Arts,6255,0.001,0,0,0,,,,
2020-21,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,,,,
2020-21,K thru 12 Education,Scholarshare Investment Board,0954,0,0,0,0,,,,
2020-21,Labor and Workforce Development,,,0.162,0.855,0,44.748,,,,
2020-21,Labor and Workforce Development,Employment Development Department,7100,0.121,0.176,0,44.705,,,,
2020-21,Labor and Workforce Development,Department of Industrial Relations,7350,0,0.662,0,0.036,,,,
2020-21,Labor and Workforce Development,California Workforce Development Board,7120,0.012,0.008,0,0.006,,,,
2020-21,Labor and Workforce Development,Public Employment Relations Board,7320,0.015,0,0,0,,,,
2020-21,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.01,0.002,0,0,,,,
2020-21,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0.003,0.007,0,0,,,,
2020-21,Transportation,,,0.239,17.762,0.641,5.582,,,,
2020-21,Transportation,Department of Transportation,2660,0,8.717,0.141,5.436,,,,
2020-21,Transportation,High-Speed Rail Authority,2665,0,2.394,0.496,0,,,,
2020-21,Transportation,Dept of the California Highway Patrol,2720,0.007,2.546,0,0.022,,,,
2020-21,Transportation,Department of Motor Vehicles,2740,0.01,1.343,0,0.003,,,,
2020-21,Transportation,State Transit Assistance,2640,0,0.707,0,0,,,,
2020-21,Transportation,"Transportation, Secy",0521,0,0.277,0,0.121,,,,
2020-21,Transportation,California Transportation Commission,2600,0,0.007,0.004,0,,,,
2020-21,Transportation,Board of Pilot Commissioners,2670,0,0.003,0,0,,,,
2020-21,Higher Education,,,15.795,0.18,0.723,5.59,,,,
2020-21,Higher Education,University of California,6440,3.466,0.171,0,4.168,,,,
2020-21,Higher Education,Board of Governors of Community Colleges,6870,5.168,0.007,0.457,0,,,,
2020-21,Higher Education,California State University,6610,3.727,0.002,0,1.422,,,,
2020-21,Higher Education,Student Aid Commission,6980,2.248,0.001,0,0,,,,
2020-21,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.362,0,0,0,,,,
2020-21,Higher Education,Institute for Regenerative Medicine,6445,0,0,0.266,0,,,,
2020-21,Higher Education,Hastings College of the Law,6600,0.018,0,0,0,,,,
2020-21,Corrections and Rehabilitation,,,13.353,2.576,0,0.108,,,,
2020-21,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,13.117,0,0,0.002,,,,
2020-21,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.126,0.106,0,0.106,,,,
2020-21,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",,,4.185,3.313,0.54,1.34,,,,
2020-21,"Legislative, Judicial, and Executive",Judicial Branch,0250,2.159,1.695,0,0.007,,,,
2020-21,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.325,0.189,0.003,1.128,,,,
2020-21,"Legislative, Judicial, and Executive",Department of Justice,0820,0.369,0.381,0,0.044,,,,
2020-21,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.027,0.531,0,0.053,,,,
2020-21,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0,0.066,0.534,0,,,,
2020-21,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.011,0.307,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.31,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Secretary of State,0890,0.09,0.076,0,0.086,,,,
2020-21,"Legislative, Judicial, and Executive",Assembly,0120,0.199,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.137,0,0.001,0.02,,,,
2020-21,"Legislative, Judicial, and Executive",Senate,0110,0.151,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.111,0.031,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.095,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",State Controller,0840,0.077,0.011,0.001,0.001,,,,
2020-21,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.031,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.029,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Office of Tax Appeals,0870,0.024,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Governors Office,0500,0.021,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.012,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",State Treasurer,0950,0.01,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.007,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.007,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.002,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.002,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0.001,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Citizens Redistricting Initiative,0911,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Governors Portrait,0720,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Governor Elect and Outgoing Governor,0730,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Industrial Dvlmt Financing Advisory Comm,0965,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2020-21,"Legislative, Judicial, and Executive",Secure Choice Retirement Svngs Invst Brd,0984,0,0,0,0,,,,
2020-21,General Government,,,1.298,5.448,0.009,0.297,,,,
2020-21,General Government,Shared Revenues,9350,0.001,2.776,0,0.038,,,,
2020-21,General Government,"Health, Dental Benefits for Annuitants",9650,2.068,0,0,0,,,,
2020-21,General Government,Public Utilities Commission,8660,0,1.608,0,0.011,,,,
2020-21,General Government,Local Government Financing,9210,0.755,0,0,0,,,,
2020-21,General Government,Department of Food and Agriculture,8570,0.149,0.256,0.008,0.113,,,,
2020-21,General Government,Augmentation for Employee Compensation,9800,0.281,0.23,0,0,,,,
2020-21,General Government,Department of Veterans Affairs,8955,0.447,0.003,0,0.012,,,,
2020-21,General Government,Tax Relief,9100,0.415,-0.003,0,0,,,,
2020-21,General Government,Military Department,8940,0.094,0.002,0,0.122,,,,
2020-21,General Government,Financial Information System for CA,8880,0.059,0,0,0,,,,
2020-21,General Government,Department of Finance,8860,0.053,0,0,0,,,,
2020-21,General Government,Debt Service GO Bonds Commercial Paper,9600,0.048,0,0,0,,,,
2020-21,General Government,Commission on State Mandates,8885,0.044,0.002,0,0,,,,
2020-21,General Government,"Peace Officer Standards, Training Comm",8120,0.045,0,0,0,,,,
2020-21,General Government,Contingencies-Emergencies Augmentation,9840,0.02,0.015,0,0,,,,
2020-21,General Government,Arts Council,8260,0.03,0.002,0,0.001,,,,
2020-21,General Government,Interest Payments to the Federal Govt,9625,0.031,0.002,0,0,,,,
2020-21,General Government,California State Auditor's Office,8855,0.025,0,0,0,,,,
2020-21,General Government,State Public Defender,8140,0.019,0,0,0,,,,
2020-21,General Government,Cash Management and Budgetary Loans,9620,0.015,0,0,0,,,,
2020-21,General Government,Fair Political Practices Commission,8620,0.014,0,0,0,,,,
2020-21,General Government,Trial Court Security-Court Construction,9285,0.007,0,0,0,,,,
2020-21,General Government,Trial Court Security - Judgeships,9286,0.004,0,0,0,,,,
2020-21,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2020-21,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2020-21,General Government,Comm on the Status of Women and Girls,8820,0.001,0,0,0,,,,
2020-21,General Government,Comm on Asian & Pacf Islndr Amer Affairs,8825,0.001,0,0,0,,,,
2020-21,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2020-21,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2020-21,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2020-21,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2020-21,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2020-21,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2020-21,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2020-21,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2020-21,General Government,Equity Claims & Settlements & Judgments,9670,0,0,0,0,,,,
2020-21,General Government,"Capital Outlay Planning, Studies",9860,0,0,0,0,,,,
2020-21,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2020-21,General Government,Public School System Stabilization Acct,9889,0,0,0,0,,,,
2020-21,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.762,0.699,0.001,0,,,,
2020-21,Natural Resources,,,3.625,1.639,1.425,0.296,,,,
2020-21,Natural Resources,"Department of Forestry, Fire Protection",3540,1.531,0.211,0.006,0.021,,,,
2020-21,Natural Resources,"Department of Parks, Recreation",3790,0.195,0.423,0.576,0.104,,,,
2020-21,Natural Resources,Department of Water Resources,3860,0.215,0.039,0.661,0.017,,,,
2020-21,Natural Resources,Department of Fish and Wildlife,3600,0.137,0.267,0.046,0.089,,,,
2020-21,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0,0.437,0,0.006,,,,
2020-21,Natural Resources,California Conservation Corps,3340,0.067,0.054,0.013,0,,,,
2020-21,Natural Resources,Department of Conservation,3480,0.004,0.119,0.002,0.004,,,,
2020-21,Natural Resources,Wildlife Conservation Board,3640,0.019,0.004,0.008,0.035,,,,
2020-21,Natural Resources,State Coastal Conservancy,3760,0,0.008,0.047,0.009,,,,
2020-21,Natural Resources,State Lands Commission,3560,0.03,0.024,0,0,,,,
2020-21,Natural Resources,"Natural Resources Agency, Secy",0540,0.009,0.016,0.026,0,,,,
2020-21,Natural Resources,Exposition Park,3100,0.027,0.01,0,0,,,,
2020-21,Natural Resources,Coastal Commission,3720,0.021,0.003,0,0.003,,,,
2020-21,Natural Resources,Delta Stewardship Council,3885,0.019,0.001,0,0.003,,,,
2020-21,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0,0,0.013,0,,,,
2020-21,Natural Resources,Sierra Nevada Conservancy,3855,0,0.005,0.006,0.003,,,,
2020-21,Natural Resources,Tahoe Conservancy,3125,0,0.007,0.002,0.003,,,,
2020-21,Natural Resources,Santa Monica Mountains Conservancy,3810,0,0,0.01,0,,,,
2020-21,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.007,0.002,0,0,,,,
2020-21,Natural Resources,Special Resources Programs,3110,0,0.006,0,0,,,,
2020-21,Natural Resources,Native American Heritage Commission,3780,0.004,0,0,0,,,,
2020-21,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.001,0.001,,,,
2020-21,Natural Resources,San Diego River Conservancy,3845,0,0,0.003,0,,,,
2020-21,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0.002,0,,,,
2020-21,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.002,0,,,,
2020-21,Natural Resources,Delta Protection Commission,3840,0,0.001,0,0,,,,
2020-21,Natural Resources,San Joaquin River Conservancy,3830,0,0.001,0,0,,,,
2020-21,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2020-21,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",,,0.645,1.073,1.154,1.341,,,,
2020-21,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,0.13,0.038,1.154,1.335,,,,
2020-21,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0,0.762,0,0,,,,
2020-21,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,0.304,0.001,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",Department of Business Oversight,1701,0,0.109,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0,0.088,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",Department of Real Estate,2320,0,0.055,0,0,,,,
2020-21,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.034,0.001,0,0.006,,,,
2020-21,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.016,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.003,0,0,,,,
2020-21,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,,,,
2020-21,"Business, Consumer Services, and Housing","Seismic Safety Commission, A. E. Alquist",1690,0,0,0,0,,,,
2020-21,Environmental Protection,,,0.127,3.188,0.018,0.369,,,,
2020-21,Environmental Protection,Resources Recycling and Recovery,3970,0.006,1.571,0,0,,,,
2020-21,Environmental Protection,State Water Resources Control Board,3940,0.052,0.708,0.017,0.314,,,,
2020-21,Environmental Protection,Air Resources Board,3900,0,0.546,0.001,0.017,,,,
2020-21,Environmental Protection,Department of Toxic Substances Control,3960,0.056,0.222,0,0.036,,,,
2020-21,Environmental Protection,Department of Pesticide Regulation,3930,0,0.109,0,0.002,,,,
2020-21,Environmental Protection,Environmental Health Hazard Assessment,3980,0.007,0.019,0,0,,,,
2020-21,Environmental Protection,"Environmental Protection, Secy",0555,0.004,0.013,0,0,,,,
2020-21,Government Operations,,,1.59,0.351,0.008,0.025,,,,
2020-21,Government Operations,Franchise Tax Board,7730,0.859,0.023,0,0,,,,
2020-21,Government Operations,Department of Tax and Fee Administration,7600,0.332,0.118,0,0,,,,
2020-21,Government Operations,Public Employees' Retirement System,7900,0.243,0,0,0,,,,
2020-21,Government Operations,Department of General Services,7760,0.091,0.126,0.008,0,,,,
2020-21,Government Operations,California Victim Compensation Board,7870,0.024,0.084,0,0.025,,,,
2020-21,Government Operations,Department of Human Resources,7501,0.016,0,0,0,,,,
2020-21,Government Operations,"Government Operations, Secretary",0511,0.012,0,0,0,,,,
2020-21,Government Operations,Department of Technology,7502,0.007,0,0,0,,,,
2020-21,Government Operations,Office of Administrative Law,7910,0.003,0,0,0,,,,
2020-21,Government Operations,State Personnel Board,7503,0.003,0,0,0,,,,
2020-21,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2021-22,Health and Human Services,,,57.467,26.366,0,99.886,48.87,29.284,0,100.871
2021-22,Health and Human Services,State Department of Health Care Services,4260,28.656,12.396,0,84.678,,,,
2021-22,Health and Human Services,Department of Social Services,5180,16.169,0.039,0,10.62,,,,
2021-22,Health and Human Services,Department of Developmental Services,4300,6.741,0.002,0,0.082,,,,
2021-22,Health and Human Services,"State-Local Realignment, 1991",5195,0,6.381,0,0,,,,
2021-22,Health and Human Services,"State-Local Realignment, 2011",5196,0.013,5.598,0,0,,,,
2021-22,Health and Human Services,Department of Public Health,4265,1.474,1.159,0,1.641,,,,
