# Citizen Ledger — public employee compensation — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — Government Compensation in California, reporting year 2024, as filed by each employer
# Accounting basis: Positions as reported by each employer to the State Controller for the calendar year, including part-year and part-time positions
# Gate tier: AS FILED — AS FILED — UNRECONCILED. A published control exists and can never be reconciled to: the source is a live database with no as-of-date total, so there is no instant at which the two can be aligned
# Units: dollars; positions are positions, NOT persons
# Measured as: POSITIONS AS REPORTED BY EACH EMPLOYER TO THE STATE CONTROLLER FOR THE CALENDAR YEAR, INCLUDING PART-YEAR AND PART-TIME POSITIONS · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-25
# Exported: 2026-07-29
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A person holding two positions appears in two rows. This is a count of positions reported, never a headcount of people.
# retirement_includes_unfunded_liability is an employer-level reporting flag. Two identically-paid positions at two employers show different totals for a pure reporting reason, and the unfunded component is not separately reported, so it cannot be netted out.
# Do NOT compute an average or median over these rows. There is no hours or FTE field, and a quarter of city rows show pay below half the position's own stated minimum. See docs/V23A_COMPENSATION_BUILD_FINDING.md.
# Vintage: {'earliest': '2025-06-24', 'latest': '2026-07-22', 'staleMonths': 14, 'ageDaysAtBuild': 3}
slug,name,layer,county,positions_reported,total_wages_usd,retirement_and_health_usd,population,elected_positions,retirement_includes_unfunded_liability
district-knights-landing-fire-protection-district-yolo,Knights Landing Fire Protection District,district,Yolo,7,18462,0,,0,false
district-knights-landing-ridge-drainage-district-yolo-yolo,Knights Landing Ridge Drainage District (Yolo),district,Yolo,5,0,0,,5,false
district-knolls-property-owners-community-services-district-el-dorado,Knolls Property Owners Community Services District,district,El Dorado,5,0,0,,0,false
district-konocti-county-water-district-lake,Konocti County Water District,district,Lake,17,623282,133659,,7,false
district-l-a-care-health-plan-joint-powers-authority-los-angeles,L.A. Care Health Plan Joint Powers Authority,district,Los Angeles,13,0,0,,0,false
district-la-impact-los-angeles,LA IMPACT,district,Los Angeles,44,0,0,,0,false
district-la-canada-irrigation-district-los-angeles,La Canada Irrigation District,district,Los Angeles,13,977503,224578,,5,false
district-la-habra-heights-county-water-district-los-angeles,La Habra Heights County Water District,district,Los Angeles,16,1212930,360042,,5,false
district-la-porte-fire-protection-district-plumas,La Porte Fire Protection District,district,Plumas,3,0,0,,3,false
district-la-puente-valley-county-water-district-los-angeles,La Puente Valley County Water District,district,Los Angeles,27,1813080,580255,,5,false
district-la-selva-beach-recreation-district-santa-cruz,La Selva Beach Recreation District,district,Santa Cruz,7,42758,3424,,0,true
district-lagrande-water-district-colusa,LaGrande Water District,district,Colusa,5,0,0,,5,false
district-ladera-recreation-district-san-mateo,Ladera Recreation District,district,San Mateo,90,543437,0,,5,false
district-laguna-beach-county-water-district-orange,Laguna Beach County Water District,district,Orange,51,6059969,1526595,,0,false
district-laguna-irrigation-district-fresno,Laguna Irrigation District,district,Fresno,20,733764,176808,,5,false
district-laguna-water-district-merced,Laguna Water District,district,Merced,3,0,0,,0,false
district-lake-arrowhead-community-services-district-san-bernardino,Lake Arrowhead Community Services District,district,San Bernardino,70,6555303,1913099,,6,false
district-lake-canyon-community-services-district-santa-clara,Lake Canyon Community Services District,district,Santa Clara,5,0,0,,0,false
district-lake-city-cemetery-district-modoc,Lake City Cemetery District,district,Modoc,4,3528,0,,3,false
district-lake-city-fire-protection-district-modoc,Lake City Fire Protection District,district,Modoc,3,0,0,,3,false
district-lake-county-fire-protection-district-lake,Lake County Fire Protection District,district,Lake,39,2157376,851043,,0,false
district-lake-county-recreation-agency-lake,Lake County Recreation Agency,district,Lake,6,0,0,,0,false
district-lake-county-resource-conservation-district-lake,Lake County Resource Conservation District,district,Lake,20,319282,28179,,0,false
district-lake-county-vector-control-district-lake,Lake County Vector Control District,district,Lake,15,659613,339911,,0,false
district-lake-county-city-area-planning-council-lake,Lake County/City Area Planning Council,district,Lake,8,0,0,,0,false
district-lake-cuyamaca-recreation-and-park-district-san-diego,Lake Cuyamaca Recreation and Park District,district,San Diego,39,628653,7200,,0,false
district-lake-don-pedro-community-services-district-mariposa,Lake Don Pedro Community Services District,district,Mariposa,14,599025,143427,,6,true
district-lake-elsinore-school-financing-authority-riverside,Lake Elsinore School Financing Authority,district,Riverside,5,0,0,,0,false
district-lake-elsinore-and-san-jacinto-watersheds-authority-riverside,Lake Elsinore and San Jacinto Watersheds Authority,district,Riverside,5,0,0,,0,false
district-lake-forest-fire-protection-district-lassen,Lake Forest Fire Protection District,district,Lassen,4,0,0,,0,false
district-lake-hemet-municipal-water-district-riverside,Lake Hemet Municipal Water District,district,Riverside,55,5119360,1202435,,5,false
district-lake-isabella-community-service-district-kern,Lake Isabella Community Service District,district,Kern,3,0,0,,3,false
district-lake-madrone-water-district-butte,Lake Madrone Water District,district,Butte,6,61023,0,,0,false
district-lake-oroville-area-public-utility-district-butte,Lake Oroville Area Public Utility District,district,Butte,15,638285,186262,,0,false
district-lake-pillsbury-fire-protection-district-lake,Lake Pillsbury Fire Protection District,district,Lake,5,0,0,,5,false
district-lake-shastina-community-services-district-siskiyou,Lake Shastina Community Services District,district,Siskiyou,37,1317601,322204,,5,false
district-lake-transit-authority-lake,Lake Transit Authority,district,Lake,8,0,0,,0,false
district-lake-valley-fire-protection-district-el-dorado,Lake Valley Fire Protection District,district,El Dorado,35,4585762,900184,,5,false
district-lake-of-the-pines-ranchos-road-community-services-district-nevada,Lake of the Pines Ranchos Road Community Services District,district,Nevada,5,0,0,,5,false
district-lakeport-fire-protection-district-lake,Lakeport Fire Protection District,district,Lake,32,1543800,655920,,0,false
district-lakeside-fire-protection-district-san-diego,Lakeside Fire Protection District,district,San Diego,85,11672953,2292618,,6,false
district-lakeside-irrigation-water-district-kings,Lakeside Irrigation Water District,district,Kings,13,471323,157283,,5,false
district-lakeside-water-district-san-diego,Lakeside Water District,district,San Diego,23,1332442,506892,,5,false
district-lakeview-cemetery-district-siskiyou,Lakeview Cemetery District,district,Siskiyou,3,0,0,,0,false
district-lakeview-community-services-district-el-dorado,Lakeview Community Services District,district,El Dorado,5,0,0,,5,false
district-lammersville-schools-finance-authority-san-joaquin,Lammersville Schools Finance Authority,district,San Joaquin,5,0,0,,0,false
district-lamont-public-utility-district-kern,Lamont Public Utility District,district,Kern,20,1098318,225680,,5,false
district-lamont-public-utility-district-financing-authority-kern,Lamont Public Utility District Financing Authority,district,Kern,20,1098318,225680,,0,false
district-lamont-storm-water-district-kern-kern,Lamont Storm Water District (Kern),district,Kern,5,0,0,,0,false
district-lamorinda-fee-and-financing-authority-contra-costa,Lamorinda Fee and Financing Authority,district,Contra Costa,3,0,0,,0,false
district-lamorinda-school-bus-transportation-agency-contra-costa,Lamorinda School Bus Transportation Agency,district,Contra Costa,9,193884,49946,,0,false
district-lanare-community-services-district-fresno,Lanare Community Services District,district,Fresno,5,0,0,,5,false
district-larkspur-marina-financing-authority-marin,Larkspur Marina Financing Authority,district,Marin,5,0,0,,0,false
district-las-gallinas-valley-sanitary-district-marin-marin,Las Gallinas Valley Sanitary District (Marin),district,Marin,41,5074752,719494,,7,false
district-las-virgenes-municipal-water-district-los-angeles,Las Virgenes Municipal Water District,district,Los Angeles,135,15788507,6155083,,5,true
district-lassen-county-air-pollution-control-district-lassen,Lassen County Air Pollution Control District,district,Lassen,6,0,0,,0,false
district-lassen-county-local-transportation-commission-lassen,Lassen County Local Transportation Commission,district,Lassen,5,0,0,,0,false
district-lassen-county-water-works-district-no-1-lassen,Lassen County Water Works District No. 1,district,Lassen,7,68000,19883,,0,false
district-lassen-library-district-lassen,Lassen Library District,district,Lassen,16,195426,0,,5,false
district-lassen-municipal-utility-district-lassen,Lassen Municipal Utility District,district,Lassen,43,4081525,2087628,,5,false
district-lassen-transit-service-agency-lassen,Lassen Transit Service Agency,district,Lassen,5,0,0,,0,false
district-last-chance-creek-water-district-plumas,Last Chance Creek Water District,district,Plumas,5,0,0,,5,false
district-last-frontier-health-district-modoc,Last Frontier Health District,district,Modoc,320,17272775,1992195,,5,false
district-lathrop-irrigation-district-san-joaquin,Lathrop Irrigation District,district,San Joaquin,10,838842,89979,,3,false
district-lathrop-manteca-fire-protection-district-san-joaquin,Lathrop-Manteca Fire Protection District,district,San Joaquin,54,6636450,5463377,,0,false
district-laton-community-services-district-fresno,Laton Community Services District,district,Fresno,12,229312,21617,,5,false
district-lava-beds-butte-valley-resource-conservation-district-modoc,Lava Beds - Butte Valley Resource Conservation District,district,Modoc,6,8029,0,,0,false
district-laytonville-county-water-district-mendocino,Laytonville County Water District,district,Mendocino,8,163881,33090,,4,true
district-le-grand-community-services-district-merced,Le Grand Community Services District,district,Merced,9,247921,102462,,0,false
district-le-grand-athlone-water-district-merced,Le Grand-Athlone Water District,district,Merced,5,0,0,,5,false
district-leavitt-lake-community-service-district-lassen,Leavitt Lake Community Service District,district,Lassen,12,175767,0,,6,false
district-lebec-county-water-district-kern,Lebec County Water District,district,Kern,8,269177,48995,,4,false
district-lee-lake-public-financing-authority-riverside,Lee Lake Public Financing Authority,district,Riverside,5,0,0,,0,false
district-lee-vining-fire-protection-district-mono,Lee Vining Fire Protection District,district,Mono,3,0,0,,0,false
district-lee-vining-public-utility-district-mono,Lee Vining Public Utility District,district,Mono,7,21330,0,,0,false
district-leggett-valley-fire-protection-district-mendocino,Leggett Valley Fire Protection District,district,Mendocino,5,0,0,,5,false
district-leland-meadow-water-district-tuolumne,Leland Meadow Water District,district,Tuolumne,4,0,0,,4,false
district-lemon-cove-sanitary-district-tulare-tulare,Lemon Cove Sanitary District (Tulare),district,Tulare,4,0,0,,4,false
district-lemoore-cemetery-district-kings,Lemoore Cemetery District,district,Kings,16,609038,64937,,3,false
district-leucadia-wastewater-district-san-diego,Leucadia Wastewater District,district,San Diego,25,2401242,855227,,5,false
district-levee-district-no-1-glenn-glenn,Levee District No. 1 (Glenn),district,Glenn,3,2400,0,,3,false
district-levee-district-no-1-sutter-sutter,Levee District No. 1 (Sutter),district,Sutter,11,302032,27175,,0,false
district-levee-district-no-2-glenn-glenn,Levee District No. 2 (Glenn),district,Glenn,3,0,0,,0,false
district-levee-district-no-3-glenn-glenn,Levee District No. 3 (Glenn),district,Glenn,3,0,0,,0,false
district-levee-district-no-9-sutter-sutter,Levee District No. 9 (Sutter),district,Sutter,3,10800,0,,3,false
district-lewis-creek-water-district-tulare,Lewis Creek Water District,district,Tulare,5,0,0,,5,false
district-lewiston-community-services-district-trinity,Lewiston Community Services District,district,Trinity,12,125106,0,,5,false
district-liberty-fire-protection-district-san-joaquin,Liberty Fire Protection District,district,San Joaquin,29,918058,45177,,0,false
district-liberty-water-district-fresno,Liberty Water District,district,Fresno,5,1600,0,,5,false
district-library-joint-powers-authority-of-santa-clara-county-santa-clara,Library Joint Powers Authority of Santa Clara County,district,Santa Clara,11,0,0,,0,false
district-library-services-authority-santa-cruz,Library Services Authority,district,Santa Cruz,4,0,0,,0,false
district-likely-cemetery-district-modoc,Likely Cemetery District,district,Modoc,4,6163,0,,3,false
district-likely-fire-protection-district-modoc,Likely Fire Protection District,district,Modoc,4,0,0,,4,false
district-lincoln-fire-protection-district-san-joaquin,Lincoln Fire Protection District,district,San Joaquin,6,37450,0,,5,false
district-lincoln-smd-1-wastewater-authority-placer,Lincoln-SMD 1 Wastewater Authority,district,Placer,4,0,0,,0,false
district-linda-county-water-district-yuba,Linda County Water District,district,Yuba,29,1684905,640441,,5,false
district-linda-fire-protection-district-yuba,Linda Fire Protection District,district,Yuba,40,2740469,627095,,3,false
district-linden-county-water-district-san-joaquin,Linden County Water District,district,San Joaquin,9,262222,71436,,5,false
district-linden-peters-fire-protection-district-san-joaquin,Linden-Peters Fire Protection District,district,San Joaquin,29,1879555,630130,,6,false
district-lindmore-irrigation-district-tulare,Lindmore Irrigation District,district,Tulare,22,1305849,424724,,5,false
district-lindsay-strathmore-cemetery-district-tulare,Lindsay - Strathmore Cemetery District,district,Tulare,10,213279,36030,,0,false
district-lindsay-strathmore-memorial-district-tulare,Lindsay - Strathmore Memorial District,district,Tulare,7,140701,4051,,5,false
district-lindsay-local-hospital-district-tulare,Lindsay Local Hospital District,district,Tulare,7,17300,0,,6,false
district-lindsay-strathmore-irrigation-district-tulare,Lindsay-Strathmore Irrigation District,district,Tulare,31,1306535,331006,,5,false
district-linne-community-services-district-san-luis-obispo,Linne Community Services District,district,San Luis Obispo,5,0,0,,5,false
district-lions-gate-community-services-district-santa-clara,Lions Gate Community Services District,district,Santa Clara,5,0,0,,5,false
district-little-lake-cemetery-district-los-angeles,Little Lake Cemetery District,district,Los Angeles,8,183307,20706,,0,false
district-little-lake-fire-protection-district-mendocino,Little Lake Fire Protection District,district,Mendocino,18,642235,143913,,5,false
district-little-valley-community-services-district-lassen,Little Valley Community Services District,district,Lassen,5,0,0,,0,false
district-littlerock-creek-irrigation-district-los-angeles,Littlerock Creek Irrigation District,district,Los Angeles,14,596411,256487,,5,false
district-live-oak-cemetery-district-sutter,Live Oak Cemetery District,district,Sutter,10,166704,11057,,0,false
district-livermore-area-recreation-and-park-district-alameda,Livermore Area Recreation and Park District,district,Alameda,382,11149815,2665582,,5,false
district-livermore-valley-water-financing-authority-alameda,Livermore Valley Water Financing Authority,district,Alameda,8,0,0,,0,false
district-livermore-amador-valley-transit-authority-alameda,Livermore-Amador Valley Transit Authority,district,Alameda,27,1886015,525200,,0,false
district-livermore-amador-valley-water-management-agency-alameda,Livermore-Amador Valley Water Management Agency,district,Alameda,6,1200,0,,0,false
district-livermore-pleasanton-fire-department-joint-powers-authority-alameda,Livermore-Pleasanton Fire Department Joint Powers Authority,district,Alameda,4,0,0,,0,false
district-local-agency-workers-compensation-excess-joint-powers-authority-sacramento,Local Agency Workers Compensation Excess Joint Powers Authority,district,Sacramento,3,0,0,,0,false
district-local-classrooms-funding-authority-los-angeles,Local Classrooms Funding Authority,district,Los Angeles,5,0,0,,0,false
district-local-public-schools-funding-authority-los-angeles,Local Public Schools Funding Authority,district,Los Angeles,6,0,0,,0,false
district-lockeford-community-services-district-san-joaquin,Lockeford Community Services District,district,San Joaquin,11,281781,106885,,5,false
district-lockeford-protection-district-no-1-san-joaquin-san-joaquin,Lockeford Protection District No. 1 (San Joaquin),district,San Joaquin,3,0,0,,3,false
district-lockwood-fire-protection-district-amador,Lockwood Fire Protection District,district,Amador,5,0,0,,5,false
district-loleta-community-services-district-humboldt,Loleta Community Services District,district,Humboldt,14,177737,0,,5,false
district-loma-prieta-resource-conservation-district-santa-clara,Loma Prieta Resource Conservation District,district,Santa Clara,6,101274,4384,,0,false
district-loma-rica-browns-valley-community-service-district-yuba,Loma Rica-Browns Valley Community Service District,district,Yuba,6,18240,0,,5,false
district-lompoc-cemetery-district-santa-barbara,Lompoc Cemetery District,district,Santa Barbara,13,379981,123342,,0,false
district-lompoc-hospital-district-santa-barbara,Lompoc Hospital District,district,Santa Barbara,1093,59548630,8515755,,5,false
district-london-community-services-district-tulare,London Community Services District,district,Tulare,8,118254,19578,,4,false
district-lone-pine-community-services-district-inyo,Lone Pine Community Services District,district,Inyo,7,85965,0,,0,false
district-lone-pine-fire-protection-district-inyo,Lone Pine Fire Protection District,district,Inyo,45,298268,0,,0,false
district-long-beach-public-transportation-company-los-angeles,Long Beach Public Transportation Company,district,Los Angeles,920,55543844,14005711,,0,true
district-long-valley-community-services-district-plumas,Long Valley Community Services District,district,Plumas,5,0,0,,0,false
district-long-valley-fire-protection-district-mendocino-mendocino,Long Valley Fire Protection District (Mendocino),district,Mendocino,28,401435,14300,,0,false
district-long-valley-fire-protection-district-mono-mono,Long Valley Fire Protection District (Mono),district,Mono,37,99932,0,,5,false
district-long-valley-groundwater-management-district-lassen,Long Valley Groundwater Management District,district,Lassen,5,0,0,,0,false
district-lookout-cemetery-district-modoc,Lookout Cemetery District,district,Modoc,4,4550,0,,3,false
district-lookout-fire-protection-district-modoc,Lookout Fire Protection District,district,Modoc,3,0,0,,3,false
district-lookout-pest-abatement-district-modoc,Lookout Pest Abatement District,district,Modoc,5,0,0,,0,false
district-los-alamos-cemetery-district-santa-barbara,Los Alamos Cemetery District,district,Santa Barbara,3,0,0,,0,false
district-los-alamos-community-services-district-santa-barbara,Los Alamos Community Services District,district,Santa Barbara,13,597532,175863,,5,false
district-los-altos-hills-county-fire-district-santa-clara,Los Altos Hills County Fire District,district,Santa Clara,23,1600543,33720,,0,false
district-los-angeles-area-regional-training-group-los-angeles,Los Angeles Area Regional Training Group,district,Los Angeles,8,0,0,,0,false
district-los-angeles-county-affordable-housing-solutions-agency-los-angeles,Los Angeles County Affordable Housing Solutions Agency,district,Los Angeles,23,70965,3480,,0,false
district-los-angeles-county-capital-asset-leasing-corporation-los-angeles,Los Angeles County Capital Asset Leasing Corporation,district,Los Angeles,5,0,0,,0,false
district-los-angeles-county-metropolitan-transportation-authority-los-angeles,Los Angeles County Metropolitan Transportation Authority,district,Los Angeles,13727,1182564070,324479185,,0,false
district-los-angeles-county-schools-regionalized-business-services-los-angeles,Los Angeles County Schools Regionalized Business Services,district,Los Angeles,5,0,0,,0,false
district-los-angeles-county-west-vector-control-district-los-angeles,Los Angeles County West Vector Control District,district,Los Angeles,50,3908629,1150273,,0,true
district-los-angeles-gateway-region-integrated-regional-water-management-authority-los-angeles,Los Angeles Gateway Region Integrated Regional Water Management Authority,district,Los Angeles,60,0,0,,0,false
district-los-angeles-harbor-area-cemetery-district-los-angeles,Los Angeles Harbor Area Cemetery District,district,Los Angeles,11,121499,0,,0,false
district-los-angeles-harbor-improvement-corporation-los-angeles,Los Angeles Harbor Improvement Corporation,district,Los Angeles,5,0,0,,0,false
district-los-angeles-homeless-services-authority-los-angeles,Los Angeles Homeless Services Authority,district,Los Angeles,841,55098941,10177599,,0,false
district-los-angeles-memorial-coliseum-commission-los-angeles,Los Angeles Memorial Coliseum Commission,district,Los Angeles,9,0,0,,0,false
district-los-angeles-regional-crime-laboratory-facility-authority-los-angeles,Los Angeles Regional Crime Laboratory Facility Authority,district,Los Angeles,5,0,0,,0,false
district-los-angeles-regional-interoperable-communications-system-authority-los-angeles,Los Angeles Regional Interoperable Communications System Authority,district,Los Angeles,10,0,0,,0,false
district-los-angeles-unified-school-district-risk-management-authority-los-angeles,Los Angeles Unified School District Risk Management Authority,district,Los Angeles,3,0,0,,0,false
district-los-banos-cemetery-district-merced,Los Banos Cemetery District,district,Merced,14,355896,22979,,0,false
district-los-banos-resource-conservation-district-merced,Los Banos Resource Conservation District,district,Merced,5,0,0,,0,false
district-los-carneros-water-district-napa,Los Carneros Water District,district,Napa,7,0,0,,7,false
district-los-cerritos-wetlands-authority-los-angeles,Los Cerritos Wetlands Authority,district,Los Angeles,5,0,0,,0,false
district-los-gatos-saratoga-department-of-community-education-and-recreation-santa-clara,Los Gatos-Saratoga Department of Community Education and Recreation,district,Santa Clara,336,3927406,529186,,0,false
district-los-molinos-cemetery-district-tehama,Los Molinos Cemetery District,district,Tehama,5,33810,0,,0,false
district-los-molinos-community-services-district-tehama,Los Molinos Community Services District,district,Tehama,9,90231,0,,5,false
district-los-olivos-community-services-district-santa-barbara,Los Olivos Community Services District,district,Santa Barbara,5,0,0,,5,false
district-los-osos-community-services-district-san-luis-obispo,Los Osos Community Services District,district,San Luis Obispo,35,1198382,168205,,5,false
district-los-vaqueros-reservoir-joint-powers-authority-contra-costa,Los Vaqueros Reservoir Joint Powers Authority,district,Contra Costa,8,0,0,,0,false
district-lossan-rail-corridor-agency-los-angeles,Lossan Rail Corridor Agency,district,Los Angeles,15,0,0,,0,false
district-lost-hills-utility-district-kern-kern,Lost Hills Utility District (Kern),district,Kern,11,377853,22931,,5,false
district-lost-hills-water-district-kern,Lost Hills Water District,district,Kern,5,0,0,,5,false
district-lower-cosumnes-resource-conservation-district-sacramento,Lower Cosumnes Resource Conservation District,district,Sacramento,5,0,0,,5,false
district-lower-lake-cemetery-district-lake,Lower Lake Cemetery District,district,Lake,6,8312,0,,5,false
district-lower-lake-county-waterworks-district-no-1-lake-lake,Lower Lake County Waterworks District No. 1 (Lake),district,Lake,16,429799,120518,,7,false
district-lower-san-joaquin-levee-district-merced-merced,Lower San Joaquin Levee District (Merced),district,Merced,19,597100,174255,,0,false
district-lower-sweetwater-fire-protection-district-san-diego,Lower Sweetwater Fire Protection District,district,San Diego,5,0,0,,5,false
district-lower-tule-river-irrigation-district-tulare,Lower Tule River Irrigation District,district,Tulare,45,3213302,784525,,5,false
district-lynn-park-acres-community-services-district-calaveras,Lynn Park Acres Community Services District,district,Calaveras,5,0,0,,5,false
district-m-s-r-energy-authority-stanislaus,M-S-R Energy Authority,district,Stanislaus,5,0,0,,0,false
district-m-s-r-public-power-agency-stanislaus,M-S-R Public Power Agency,district,Stanislaus,3,0,0,,0,false
district-madeline-fire-protection-district-lassen,Madeline Fire Protection District,district,Lassen,3,0,0,,0,false
district-madera-cemetery-district-madera,Madera Cemetery District,district,Madera,33,1408940,441204,,0,false
district-madera-county-arts-authority-madera,Madera County Arts Authority,district,Madera,6,0,0,,0,false
district-madera-county-economic-development-commission-madera,Madera County Economic Development Commission,district,Madera,12,203742,66860,,0,false
district-madera-county-local-transportation-commission-madera,Madera County Local Transportation Commission,district,Madera,15,844459,244052,,0,false
district-madera-county-mosquito-and-vector-control-district-madera,Madera County Mosquito and Vector Control District,district,Madera,42,1209037,242014,,0,false
district-madera-county-transportation-authority-madera,Madera County Transportation Authority,district,Madera,7,0,0,,0,false
district-madera-irrigation-district-madera,Madera Irrigation District,district,Madera,65,4138557,1204328,,5,false
district-madera-water-district-madera,Madera Water District,district,Madera,7,146622,29879,,5,false
district-madera-chowchilla-power-authority-madera,Madera-Chowchilla Power Authority,district,Madera,15,519108,116972,,0,false
district-madison-community-services-district-yolo,Madison Community Services District,district,Yolo,9,124450,0,,5,false
district-madison-fire-protection-district-yolo,Madison Fire Protection District,district,Yolo,9,191858,22842,,4,false
district-maine-prairie-water-district-solano,Maine Prairie Water District,district,Solano,9,246026,0,,0,false
district-majestic-pines-community-services-district-san-diego,Majestic Pines Community Services District,district,San Diego,8,210360,64246,,0,false
district-malaga-county-water-district-fresno,Malaga County Water District,district,Fresno,29,944412,24719,,5,false
district-mammoth-community-water-district-mono,Mammoth Community Water District,district,Mono,49,4955825,2073701,,0,false
district-mammoth-lakes-community-services-district-mono,Mammoth Lakes Community Services District,district,Mono,3,0,0,,0,false
district-mammoth-lakes-fire-protection-district-mono,Mammoth Lakes Fire Protection District,district,Mono,72,2476849,536120,,5,false
district-mammoth-lakes-mosquito-abatement-district-mono,Mammoth Lakes Mosquito Abatement District,district,Mono,5,0,0,,5,false
district-manila-community-services-district-humboldt,Manila Community Services District,district,Humboldt,8,237255,0,,0,false
district-manteca-unified-school-district-public-facilities-financing-corporation-san-joaquin,Manteca Unified School District Public Facilities Financing Corporation,district,San Joaquin,7,0,0,,0,false
district-manton-cemetery-district-tehama,Manton Cemetery District,district,Tehama,10,39392,0,,5,false
district-marble-mountain-homeowners-community-services-district-el-dorado,Marble Mountain Homeowners Community Services District,district,El Dorado,5,0,0,,5,false
district-march-inland-port-airport-authority-riverside,March Inland Port Airport Authority,district,Riverside,21,1833293,182366,,0,false
district-march-joint-powers-authority-riverside,March Joint Powers Authority,district,Riverside,6,0,0,,0,false
district-march-joint-powers-utilities-authority-riverside,March Joint Powers Utilities Authority,district,Riverside,6,0,0,,0,false
district-mariana-ranchos-county-water-district-san-bernardino,Mariana Ranchos County Water District,district,San Bernardino,8,200570,3655,,5,false
district-marin-city-community-services-district-marin,Marin City Community Services District,district,Marin,30,514819,69420,,5,false
district-marin-clean-energy-marin,Marin Clean Energy,district,Marin,166,16572650,3700027,,0,false
district-marin-county-hazardous-and-solid-waste-joint-powers-authority-marin,Marin County Hazardous and Solid Waste Joint Powers Authority,district,Marin,12,0,0,,0,false
district-marin-county-resource-conservation-district-marin,Marin County Resource Conservation District,district,Marin,20,895985,148840,,0,false
district-marin-county-transit-district-marin,Marin County Transit District,district,Marin,30,2464343,690609,,8,false
district-marin-emergency-radio-authority-marin,Marin Emergency Radio Authority,district,Marin,25,0,0,,0,false
district-marin-general-services-authority-marin,Marin General Services Authority,district,Marin,7,0,0,,0,false
district-marin-healthcare-district-marin,Marin Healthcare District,district,Marin,5,8295,0,,5,false
district-marin-municipal-water-district-marin,Marin Municipal Water District,district,Marin,264,29931629,7713622,,5,false
district-marin-municipal-water-district-financing-authority-marin,Marin Municipal Water District Financing Authority,district,Marin,5,0,0,,0,false
district-marin-public-financing-authority-marin,Marin Public Financing Authority,district,Marin,4,0,0,,0,false
district-marin-schools-insurance-authority-marin,Marin Schools Insurance Authority,district,Marin,15,0,0,,0,false
district-marin-wildfire-prevention-authority-marin,Marin Wildfire Prevention Authority,district,Marin,26,963583,215231,,0,false
district-marin-sonoma-mosquito-and-vector-control-district-marin,Marin/Sonoma Mosquito and Vector Control District,district,Marin,66,4490732,1943536,,0,false
district-marina-coast-water-district-monterey,Marina Coast Water District,district,Monterey,61,5678910,1781616,,5,false
district-marinet-consortium-joint-powers-authority-marin,Marinet Consortium Joint Powers Authority,district,Marin,9,0,0,,0,false
district-marinwood-community-services-district-marin,Marinwood Community Services District,district,Marin,268,2931302,629313,,5,false
district-mariposa-county-local-transportation-commission-mariposa,Mariposa County Local Transportation Commission,district,Mariposa,7,117401,24224,,0,false
district-mariposa-county-resource-conservation-district-mariposa,Mariposa County Resource Conservation District,district,Mariposa,8,168652,0,,0,false
district-mariposa-public-utility-district-mariposa,Mariposa Public Utility District,district,Mariposa,13,523889,199114,,5,false
district-mark-twain-health-care-district-calaveras,Mark Twain Health Care District,district,Calaveras,54,2890066,209937,,5,false
district-markleeville-public-utility-district-alpine,Markleeville Public Utility District,district,Alpine,7,30000,0,,4,false
district-marvin-chapel-cemetery-district-glenn,Marvin-Chapel Cemetery District,district,Glenn,4,3250,0,,0,false
district-marys-cemetery-district-yolo,Marys Cemetery District,district,Yolo,5,0,0,,0,false
district-maxwell-cemetery-district-colusa,Maxwell Cemetery District,district,Colusa,6,87284,0,,0,false
district-maxwell-fire-protection-district-colusa,Maxwell Fire Protection District,district,Colusa,17,408340,84928,,5,false
district-maxwell-irrigation-district-colusa,Maxwell Irrigation District,district,Colusa,11,251512,43976,,5,false
district-maxwell-public-utility-district-colusa,Maxwell Public Utility District,district,Colusa,14,165124,63455,,5,false
district-maxwell-recreation-and-park-district-colusa,Maxwell Recreation and Park District,district,Colusa,5,0,0,,0,false
district-mayers-memorial-hospital-district-shasta,Mayers Memorial Hospital District,district,Shasta,368,22031075,2483189,,5,false
district-mayten-fire-protection-district-siskiyou,Mayten Fire Protection District,district,Siskiyou,7,2437,0,,5,false
district-mcallister-ranch-irrigation-district-kern,McAllister Ranch Irrigation District,district,Kern,3,0,0,,0,false
district-mccloud-community-services-district-siskiyou,McCloud Community Services District,district,Siskiyou,30,1143144,31660,,5,false
district-mcfarland-recreation-and-park-district-kern,McFarland Recreation and Park District,district,Kern,39,507687,190723,,5,false
district-mckinleyville-community-services-district-humboldt,McKinleyville Community Services District,district,Humboldt,113,2479155,1064713,,5,false
district-mckinney-water-district-placer,McKinney Water District,district,Placer,7,50065,0,,5,false
district-mcmullin-area-groundwater-sustainability-agency-fresno,McMullin Area Groundwater Sustainability Agency,district,Fresno,5,0,0,,0,false
district-meadow-valley-cemetery-district-plumas,Meadow Valley Cemetery District,district,Plumas,4,8115,0,,3,false
